key,registration-moment,passenger-email,description,type,c-is-accepted,key:registered-by,key:leg
# registration moment
claim-01,2000/01/01 00:00,acme@lorem-ipsum.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
claim-02,2000/01/01 00:01,acme@lorem-ipsum.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
claim-03,2022/07/29 23:59,acme@lorem-ipsum.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
claim-04,2022/07/30 00:00,acme@lorem-ipsum.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
# passenger email
claim-05,2012/07/02 00:00,acme:password@lorem-ipsum.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
claim-06,2012/07/02 00:00,a@b.e,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-01
claim-07,2012/07/02 00:00,a@b.es,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-02
claim-08,2012/07/02 00:00,a@b.esx,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-02
claim-09,2012/07/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-02
claim-10,2012/07/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,Lorem Ipsum,FLIGHT_ISSUES,true,agent-01,leg-02
# description
claim-11,2012/07/02 00:00,acme@lorem-ipsum.org,L,FLIGHT_ISSUES,false,agent-01,leg-02
claim-12,2012/07/02 00:00,acme@lorem-ipsum.org,Lo,FLIGHT_ISSUES,false,agent-01,leg-02
claim-13,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,FLIGHT_ISSUES,false,agent-01,leg-02
claim-14,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,FLIGHT_ISSUES,false,agent-01,leg-02
# type
